Variable,Data Type ,Description,Context,Reference,Relevancy to Analysis
Sl. No,Integer,Row Index,Included with original data set. ,,Low 
Patient File No.,Integer,Unique patient file identifier,Total of 1082 Patient File Numbers,,High
PCOS (Y/N),Boolean ,True represents if the patient was diagnosed with PCOS. False represents the patient has not been diagnosed with PCOS.,"If the patient has not been diagnosed with PCOS (False), this does not mean that this patient could not be diagnosed with PCOS in the future. ",,High
Age (yrs),Integer,Patient age,Research suggests that 35 and older women have a higher risk of pregnancy-related complications. ,,Medium
Weight (Kg),Integer,Patient weight in kilograms ,,Cleveland Clinic,Medium
Height(Cm),Integer,Patient height in centimeters,,,Medium
BMI,Integer,Body Mass Index of patient ,Calculated by Weight (Kg) / (Height (M) *2). A value of 30 and above indicates obsesity in adults.,Cleveland Clinic,High
Blood Group,Integer,Blood types represented as integers ,"A+  = 11, A- = 12, B+ = 13, O+ = 15, O- = 16, AB+ = 17, AB- = 18",Cleveland Clinic,Medium
Pulse rate(bpm) ,Integer,Heart beats per minute,"For adults (ages 18+), the expected resting heart rate range is 60 - 100 bpm.",Cleveland Clinic,Low 
RR (breaths/min),Integer ,Respiration rate measured in breaths per minute. ,"For adults (ages 18+), the expected respiratory rate is 12 to 20 breaths per minute. ",Cleveland Clinic,Low 
Hb(g/dl),Integer,Hemoglobin measured in grams per deciliter. ,"Normal ranges for Males are 13.2 to 16.6 g/dl; For women, 11.6 to 15 g/dl. ",Mayo Clinic,Low 
Cycle(R/I),Boolean ,Patient Cycle classified as Regular or Irregular,"In this dataset, it is not well defined what the integers mean so this feature will not be used.",Mayo Clinic,Low 
Cycle length(days),Integer,Cycle length in days,Regular cycle lengths range from 21 to 35 days ,Mayo Clinic,High
Pregnant(Y/N),Boolean ,True indicates the patient is pregnant. False indicates the patient is not pregnant.,Women who have PCOS can get pregnant. ,US Dept. of Health and Human Services,High
No. of abortions,Integer,Count of abortions,Some research suggests that patients with PCOS usually have a high abortion rate. ,National Library of Medicine,Medium
  I   beta-HCG(mIU/mL),Integer,Human Chorionic Gonadotropin measured in milli-iternaitional units per milliliter. Case I is the first reading. ,HCG is a hormone produced during pregnancy. Non-pregnant women: less than 5 mIU/ml. Healthy men: less than 2 miU/mL. During pregnancy the HCG ranges rise rapidly. ,Mount Sinai,Medium
II    beta-HCG(mIU/mL),Integer,"Human Chorionic Gonadotropin measured in milli-iternaitional units per milliliter. Case II is the first reading. If no Case II reading, then the Case I reading is taken.",Non-pregnant women: less than 5 mIU/ml. Healthy men: less than 2 miU/mL. During pregnancy the HCG ranges rise rapidly. ,Mount Sinai,Medium
